,Kaupunginosa ,Huoneisto,Talot. ,m2 ,Vh € ,€/m2 ,Rv ,Krs ,Hissi ,Kunto ,Tontti ,Energial. ,postcode
4,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02540
5,,,,,,,,,,,,,02540
0,,,,,,,,,,,,,02550
1,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02550
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02550
3,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02550
4,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02550
5,,,,,,,,,,,,,02550
0,,,,,,,,,,,,,02570
1,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,02570
2,Västerby,2 h + k,rt,5050,60000,1188,1977,1/1,ei,tyyd.,oma,,02570
3,Siuntio kk,2h+k,rt,5900,80000,1356,1975,1/1,ei,,oma,F2013,02570
4,Siuntio kk,2h+kk,rt,3900,60000,1538,1975,1/1,ei,tyyd.,oma,F2013,02570
5,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02570
6,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02570
7,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02570
8,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02570
9,,,,,,,,,,,,,02570
0,,,,,,,,,,,,,02580
1,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02580
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02580
3,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02580
4,Sunnanvik,"4h, k, s, khh, ...",ok,13650,255000,1868,1988,1/1,ei,hyvä,oma,D2018,02580
5,Sunnanvik,"OH, K, 5*MH, Ar...",ok,18300,320000,1749,2007,,ei,hyvä,oma,C2018,02580
6,Sunnanvik,"5 h,k,khh,ph",ok,12400,285000,2298,2004,1/2,ei,hyvä,oma,D2018,02580
7,Siuntio,4h+k+khh+s+parvi,rt,10800,220000,2037,2008,1/1,ei,hyvä,oma,,02580
8,Sunnanvik,"4h, k, s, kph",ok,13000,185000,1423,1986,,ei,,oma,E2018,02580
9,,4h+oh+tupakeitt...,ok,16800,182000,1083,1976,1/1,ei,hyvä,oma,E2018,02580
10,,"5h,k,khh,s,ph,a...",ok,17000,199000,1171,1974,1/2,ei,tyyd.,oma,,02580
11,,4h+k+rt+s+khh+2xwc,ok,15000,360000,2400,2004,-1/2,ei,hyvä,oma,D2018,02580
12,,ateljee olohuon...,ok,26000,710000,2731,1999,-1/2,ei,hyvä,oma,,02580
13,,"4h, k, kph",ok,13500,190000,1407,1982,,ei,tyyd.,oma,,02580
14,,"5-6h,k,s,khh,as...",ok,18900,321000,1698,2000,3/3,ei,,oma,,02580
15,,"4h,k,kph,2wceri...",ok,15700,297000,1892,1988,,ei,hyvä,oma,,02580
16,,"4h,k,ph,s,wc,at...",ok,11300,159000,1407,1975,1/1,ei,tyyd.,oma,,02580
17,,"5h,k,s,kph,vh,v...",ok,14500,170000,1172,1976,,ei,hyvä,oma,,02580
18,,"5h, avok, khh, ...",ok,13000,298000,2292,2012,-1/1,ei,hyvä,oma,B2007,02580
19,,"4h, oh/k, khh, ...",ok,14000,263000,1879,1988,1/1,ei,hyvä,oma,E2018,02580
20,,5h+k+ph+s+wc+et...,ok,12000,125000,1042,1980,1/1,ei,huono,oma,,02580
21,,,,,,,,,,,,,02580
0,1,1,1,1,1,1,1,1,1,1,1,1,02600
1,,1,,,,,,,,,,,02600
2,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,02600
3,Leppävaara,"1h, kk, vh, kph...",kt,4300,230000,5349,2010,4/6,on,hyvä,oma,E2007,02600
4,Vermo,"1h,kt,alkovi,s",kt,4400,240000,5455,2019,5/8,on,hyvä,vuokra,,02600
5,Leppävaara,"1h, kk, kph, vh...",kt,4300,220000,5116,2010,2/6,on,hyvä,oma,,02600
6,Perkkaa,"1h, k, kph, las.p",kt,3800,126000,3316,1975,5/6,on,huono,oma,F2013,02600
7,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,02600
8,Leppävaara,2h+kt+p (yht.j&...,kt,3950,212000,5367,2019,2/4,on,hyvä,vuokra,C2013,02600
9,Leppävaara,"2h, k, kph, s, ...",kt,4450,265000,5955,2004,2/7,on,hyvä,oma,F2013,02600
10,Leppävaara,"2h, k, kph, s, ...",kt,4450,270000,6067,2004,7/7,on,hyvä,oma,F2013,02600
11,Perkkaa,"2h, k, kph, s, ...",kt,6000,185000,3083,1973,2/8,on,tyyd.,oma,F2013,02600
12,Leppävaara,"2h, avok, kph, ...",kt,4350,243500,5598,2019,4/6,on,hyvä,,C2013,02600
13,Leppävaara,"2h, kt, kph, la...",kt,4200,212000,5048,2019,2/4,on,hyvä,,C2013,02600
14,Leppävaara,"1-2h, kk, lasit...",kt,5500,278000,5055,2010,5/6,on,hyvä,oma,E2007,02600
15,Leppävaara,"2h, k, s + lasi...",kt,5300,239000,4509,1997,2/7,on,hyvä,oma,D,02600
16,Leppävaara,2h+kt,kt,3950,213000,5392,2019,3/6,on,hyvä,,C2013,02600
17,Leppävaara,"2h,k,s,kph, las...",kt,6750,317000,4696,2010,2/7,on,hyvä,oma,E2007,02600
18,Leppävaara,2h+kt+p,kt,4000,217000,5425,2019,4/4,on,hyvä,,,02600
19,Leppävaara,2 h+kk+s,kt,4600,255000,5543,2003,5/5,on,hyvä,oma,D2018,02600
20,Leppävaara,"2h+kt, esittees...",kt,4300,215000,5000,2019,2/4,on,hyvä,vuokra,C2013,02600
21,Mäkkylä,2h+k+kph+parveke,kt,5700,202000,3544,1963,2/2,ei,hyvä,oma,,02600
22,Leppävaara,2h+avok+s+p,kt,4350,238000,5471,2019,5/6,on,hyvä,,,02600
23,Perkkaa,2 h+avo.keitti&...,kt,6000,180000,3000,1972,2/6,on,hyvä,oma,F2013,02600
24,Leppävaara,2h+kt+p (yht.j&...,kt,3950,207000,5241,2019,2/6,on,hyvä,vuokra,C2013,02600
25,Leppävaara,2h+kt+p (yht. j...,kt,4300,215000,5000,2019,2/4,on,hyvä,vuokra,C2013,02600
26,Leppävaara,"2h, kk, kph, s, p",kt,4800,227000,4729,2000,3/4,on,hyvä,oma,D2007,02600
27,Leppävaara,2h+avok.+s+p,kt,4350,235000,5402,2019,4/6,on,hyvä,,,02600
28,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02600
29,Leppävaara,"3h, avok., vh, ...",kt,7000,360000,5143,2004,6/8,on,hyvä,oma,D2013,02600
30,Leppävaara,"3h, k, s",kt,7050,305000,4326,2000,3/3,on,hyvä,oma,D2013,02600
31,Leppävaara,3h+k+s+las.parv,kt,7000,340000,4857,2004,3/7,on,hyvä,oma,F2013,02600
32,Leppävaara,"3h, k, khh, kph...",kt,6700,322000,4806,2008,5/5,on,hyvä,oma,F2013,02600
33,Leppävaara,3h+k+s,kt,8600,390000,4535,2004,3/7,on,hyvä,oma,F2013,02600
34,Leppävaara,3h+kk,rt,6500,297500,4577,2017,1/2,ei,hyvä,vuokra,C2013,02600
35,Leppävaara,"3h, k, s, lasit...",kt,6500,302000,4646,2018,2/5,on,hyvä,,C2018,02600
36,Leppävaara,"3h, avok, kph, ...",kt,6450,314000,4868,2001,1/5,on,hyvä,oma,F2013,02600
37,Leppävaara,"3 h, avok, s, e...",rt,7400,384500,5196,2017,1/2,ei,hyvä,,C,02600
38,Leppävaara,3h+avokeitti...,kt,6600,317000,4803,2003,5/5,on,hyvä,oma,D,02600
39,Leppävaara,3h+k+kph+s+vh+e...,kt,7900,348200,4408,2011,1/7,on,hyvä,oma,D2013,02600
40,Perkkaa,"3h, k, kph, s, ...",kt,7700,292000,3792,2003,1/5,on,hyvä,oma,E2007,02600
41,Perkkaa,"3h, avok., s, p...",kt,6700,250000,3731,1990,2/3,ei,tyyd.,oma,F2013,02600
42,Leppävaara,"3h, k, s, kph, ...",kt,7250,315000,4345,1999,3/5,on,tyyd.,oma,E2018,02600
43,Leppävaara,"3 h, avok, s, l...",kt,8700,410000,4713,2010,2/6,on,hyvä,oma,,02600
44,Friisinmäki,"3h, k, s",rt,7200,327500,4549,2017,1/2,ei,hyvä,,C2013,02600
45,Leppävaara,3h+k+kph+s+eril...,kt,7350,370500,5041,2009,2/8,on,tyyd.,oma,,02600
46,Perkkaa,3h+k+s,kt,7300,302000,4137,2003,3/5,on,hyvä,oma,E2007,02600
47,Leppävaara,"3h, kk",rt,6450,325000,5039,2017,2/2,ei,hyvä,,C2013,02600
48,Leppävaara,"3 h, k, kph/wc,...",rt,6450,291000,4512,2017,1/2,ei,hyvä,,C2013,02600
49,Leppävaara,"3 h, k, s, eril...",kt,7250,329000,4538,2001,1/4,ei,hyvä,oma,D,02600
50,Leppävaara,"3h, k",rt,6450,323000,5008,2017,1/2,ei,hyvä,,C2013,02600
51,"Leppävaara, friisinmäki",3h+k+s,rt,7450,316500,4248,2016,2/2,ei,hyvä,vuokra,C2013,02600
52,Leppävaara,"3 h, k, s, eril...",rt,6400,280000,4375,2017,2/2,ei,hyvä,,C2013,02600
53,Säteri,"3h,avokeitti...",rt,7150,357500,5000,2017,1/2,ei,hyvä,oma,C2013,02600
54,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02600
55,Friisinmäki,"4h, k, kph, s, ...",rt,12000,424000,3533,2016,1/2,ei,hyvä,vuokra,C2013,02600
56,Leppävaara,"4h, k, s, kph, ...",kt,8300,375000,4518,2008,3/5,on,hyvä,oma,F2013,02600
57,Leppävaara,"4h, k, s, erill...",kt,8450,381000,4509,1999,1/5,on,hyvä,oma,E2018,02600
58,1,1,1,1,1,1,1,1,1,1,1,1,02600
59,,1,,,,,,,,,,,02600
0,2,2,2,2,2,2,2,2,2,2,2,2,02600
1,,2,,,,,,,,,,,02600
2,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02600
3,Friisinmäki,6h+k+s,rt,19800,325000,1641,1973,1/1,ei,hyvä,oma,,02600
4,Leppävaara,4mh+oh+k+s+2ph+...,ok,27600,668000,2420,2000,3/1,ei,hyvä,vuokra,,02600
5,Leppävaara,"4, h, k, s + piha",rt,8950,375000,4190,2001,1/2,on,hyvä,oma,D2007,02600
6,Leppävaara,"4h, k, s, kph, wc",rt,8950,360000,4022,2001,1/2,on,hyvä,oma,D2007,02600
7,Leppävaara,"6-7h, k, rt, ph...",ok,19200,665000,3464,2002,1/3,ei,hyvä,oma,,02600
8,Leppävaara,4 h+k+las.parve...,kt,8800,210000,2386,1975,2/6,on,tyyd.,oma,F2013,02600
9,Leppävaara,"4- 5h, k, s, 2x...",kt,12100,540000,4463,2000,5/5,on,hyvä,oma,E2013,02600
10,Leppävaara,"4h, k, s",kt,8350,385000,4611,2014,2/8,on,hyvä,oma,C,02600
11,Leppävaara,"5h, k, vh, 2xwc...",ok,13400,510000,3806,2003,1/2,ei,hyvä,oma,,02600
12,Leppävaara,"4h, k, s, 2kpl ...",kt,8350,390000,4671,2014,3/8,on,hyvä,oma,,02600
13,Perkkaa,4h+k+parveke,kt,10050,193000,1920,1973,6/8,on,huono,oma,F2013,02600
14,,"5 h, aula, k, ...",ok,13500,336000,2489,1956,1/3,ei,hyvä,oma,,02600
15,2,2,2,2,2,2,2,2,2,2,2,2,02600
16,,2,,,,,,,,,,,02600
0,,,,,,,,,,,,,02610
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,02610
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",02610
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,02610
4,Kilo,"2 h, k, kph, s,...",kt,5800,250000,4310,2005,2/4,on,hyvä,oma,D2007,02610
5,Kilo,2h+k+s+parv.,kt,5350,241500,4514,2005,2/6,on,hyvä,oma,D2007,02610
6,Kilo,"2h, k, s",kt,4850,258000,5320,2016,4/5,on,hyvä,oma,C,02610
7,Kilo,2h+k+s,rt,5700,236000,4140,1984,1/1,ei,hyvä,oma,E2007,02610
8,Kilo,"2h, k, kph, s, ...",rt,5700,221000,3877,1984,1/1,ei,hyvä,oma,E2007,02610
9,Kilo,2h+kt,kt,3800,197000,5184,2010,2/4,on,hyvä,oma,C2007,02610
10,Kilo,2h+k+kph+wc+vh+...,rt,5700,229000,4018,1984,1/1,ei,hyvä,oma,E2007,02610
11,,"2h, k, s, erill...",ok,7000,274000,3914,1990,-1/1,ei,tyyd.,oma,,02610
12,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02610
13,Kilo,"3-5 h, k",rt,10000,304000,3040,1982,-1/2,ei,tyyd.,oma,,02610
14,Kilo,3h+kt+kph+s+wc+...,rt,10000,349000,3490,1982,1/2,ei,hyvä,oma,E2013,02610
15,Kuninkainen,"3h, k, kph, s, ...",kt,6800,272000,4000,2004,2/2,ei,hyvä,oma,C2007,02610
16,Kilo,3h+k+erillis-wc...,rt,7500,308000,4107,2003,1/1,ei,hyvä,oma,D2007,02610
17,Kilo,"3h, k, s, p",kt,7150,246000,3441,1986,1/2,ei,hyvä,oma,E2013,02610
18,Kilo,3h+k+s,kt,7150,230000,3217,1990,1/3,ei,hyvä,oma,C2007,02610
19,Kilo,3h+kt,kt,6450,349000,5411,2014,7/7,on,hyvä,oma,A2013,02610
20,Kilo,3h+kt+kh+p,kt,6000,245000,4083,2018,2/4,on,hyvä,vuokra,C2018,02610
21,Kilo,3h+avok+kph+las.p,kt,6000,244000,4067,2018,1/4,on,hyvä,vuokra,C2013,02610
22,Kilo,"2-3h, k, s",rt,6500,278000,4277,1985,2/2,ei,hyvä,oma,B2007,02610
23,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02610
24,Kilo,"5h, avokeitti...",ok,16800,645000,3839,2012,1/2,ei,hyvä,oma,A,02610
25,Kuninkainen,"4-6h, k, s, 2kp...",rt,12250,452500,3694,2001,1/2,ei,hyvä,oma,D2007,02610
26,Kilo,"3-4h,k,kph,ak.",rt,6150,359500,5846,2017,1/3,ei,hyvä,oma,C2013,02610
27,Kilo,5-6 h+ takkahuo...,ok,19500,455000,2333,1979,,ei,hyvä,oma,,02610
28,Kilo,"4h, k, kph, s, ...",rt,9300,430000,4624,2007,1/2,ei,hyvä,oma,D2007,02610
29,Kilo,6h+k+kellaritil...,ok,21300,720000,3380,1954,-1/2,ei,hyvä,oma,,02610
30,,"4h, th, k ,rt, ...",ok,23300,637000,2734,1991,2/2,ei,hyvä,oma,,02610
31,,"6h, avok, sauna...",ok,17200,725000,4215,2016,-1/2,ei,hyvä,oma,B2013,02610
32,,,,,,,,,,,,,02610
0,,,,,,,,,,,,,02620
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,02620
2,Karakallio,"1h, kk",kt,3200,100000,3125,1971,1/5,on,tyyd.,oma,D,02620
3,Rastaala / leppäsilta,1h+k,rt,3400,153000,4500,1981,1/1,ei,hyvä,oma,D2007,02620
4,Karakallio,1h + kk,kt,3200,103000,3219,1971,1/4,on,,oma,D2007,02620
5,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,02620
6,Karakallio,"2h,k,s",kt,5700,246000,4316,2012,1/4,on,hyvä,oma,E2013,02620
7,Rastaala,2h+k+s+p,kt,4400,144000,3273,1994,1/2,ei,tyyd.,oma,F2013,02620
8,Karakallio,2h+k+las.parvek...,kt,5600,137000,2446,1971,3/4,ei,hyvä,oma,D2007,02620
9,Laaksolahti,2h+k+kph+s+piha,kt,4800,205000,4271,2009,1/4,on,hyvä,oma,D2007,02620
10,Karakallio,2h+k+kph+vh+las...,kt,5800,125000,2155,1970,1/5,on,hyvä,oma,D2013,02620
11,Karakallio,"2h, k",kt,5050,112500,2228,1965,2/5,on,hyvä,oma,D2007,02620
12,Karakallio,"2h, kk, lasitet...",kt,4500,120000,2667,1970,4/5,on,hyvä,oma,D2013,02620
13,Karakallio,"2h, k, kph, las...",kt,5050,115000,2277,1965,4/5,on,hyvä,oma,D,02620
14,Karakallio,"2h, k, kph, las...",kt,5500,114000,2073,1968,3/3,ei,hyvä,oma,E2013,02620
15,Laaksolahti,"2h, avokeitti...",kt,5050,212500,4208,2012,2/3,on,hyvä,oma,B,02620
16,Karakallio,2h + k,kt,5600,100000,1786,1971,2/4,ei,tyyd.,oma,D2007,02620
17,Karakallio,2h+kk,kt,4500,105000,2333,1970,2/5,ei,huono,oma,D2007,02620
18,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,02620
19,Karakallio,3h+k+kph+erill....,kt,7600,140500,1849,1971,5/5,on,tyyd.,oma,D2007,02620
20,Karakallio,3h+k+s+p,kt,7750,325000,4194,2012,2/4,on,hyvä,oma,E2018,02620
21,"Rastaala, laaksolahti",3h+k+s,rt,8350,316000,3784,2006,1/2,ei,tyyd.,oma,E2013,02620
22,Karakallio,"3h, k, rt, kph,...",kt,8150,129000,1583,1970,2/4,ei,tyyd.,oma,D2013,02620
23,Karakallio,"3h, k, ph, eril...",kt,7100,176000,2479,1967,2/5,on,tyyd.,oma,D2013,02620
24,Laaksolahti,"3h, k, s, erill...",rt,7600,318000,4184,2006,1/1,ei,hyvä,oma,F2013,02620
25,Karakallio,3 h+k+kph+parveke,kt,6550,163000,2489,1966,1/6,on,tyyd.,oma,D,02620
26,Karakallio,3h+k+kph+vh+las...,kt,7500,154000,2053,1970,4/5,on,hyvä,oma,D2007,02620
27,Rastaala,"3h,avokeitti...",rt,9100,348000,3824,1954,-1/3,ei,hyvä,oma,,02620
28,Rastaspuisto,"3h, k, s, lasit...",kt,7250,195000,2690,1994,2/3,ei,tyyd.,oma,G,02620
29,Karakallio,"3h, k, rt, eril...",kt,7850,165000,2102,1969,2/4,ei,hyvä,oma,D,02620
30,Laaksolahti,"3h, avokeitti...",kt,5950,257500,4328,2012,2/3,on,hyvä,oma,B,02620
31,Karakallio,3h+k+kph+vh+las...,kt,7500,145000,1933,1970,3/5,on,hyvä,oma,D2013,02620
32,Karakallio,3 h + k,kt,6550,128100,1956,1966,5/6,on,tyyd.,oma,D,02620
33,Rastaspuisto,3h+kk+s,kt,7000,230500,3293,1999,2/2,ei,,oma,D2007,02620
34,Rastaala,3h+k+s,rt,8400,320000,3810,1998,1/2,ei,hyvä,oma,D2007,02620
35,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,02620
36,Karakallio,"4h, k, kph/wc +...",kt,8800,225000,2557,1968,2/3,ei,hyvä,oma,D2007,02620
37,Laaksolahti,5h+k+rt+2xkph+s...,ok,17000,600000,3529,2003,,ei,hyvä,oma,D2018,02620
